indication,hook_archetype,awareness_stage,ads,pct
texture_pores,before_after_reveal,product_aware,1,0.15
melasma,bold_claim,product_aware,1,0.15
fine_lines_wrinkles,bold_claim,problem_aware,1,0.15
general_glow,before_after_reveal,unaware,1,0.15
melasma,flat_spec,product_aware,1,0.15
acne_scarring,bold_claim,unaware,0,0.0
acne_scarring,bold_claim,problem_aware,0,0.0
acne_scarring,problem_callout,unaware,0,0.0
acne_scarring,problem_callout,problem_aware,0,0.0
acne_scarring,problem_callout,most_aware,0,0.0
acne_scarring,question,unaware,0,0.0
acne_scarring,question,problem_aware,0,0.0
acne_scarring,question,solution_aware,0,0.0
acne_scarring,question,product_aware,0,0.0
acne_scarring,question,most_aware,0,0.0
acne_scarring,direct_offer,unaware,0,0.0
acne_scarring,direct_offer,problem_aware,0,0.0
acne_scarring,direct_offer,solution_aware,0,0.0
acne_scarring,direct_offer,product_aware,0,0.0
acne_scarring,direct_offer,most_aware,0,0.0
acne_scarring,flat_spec,unaware,0,0.0
acne_scarring,flat_spec,problem_aware,0,0.0
acne_scarring,flat_spec,most_aware,0,0.0
acne_scarring,social_proof,unaware,0,0.0
acne_scarring,social_proof,problem_aware,0,0.0
acne_scarring,social_proof,product_aware,0,0.0
acne_scarring,social_proof,most_aware,0,0.0
acne_scarring,curiosity_tease,unaware,0,0.0
acne_scarring,curiosity_tease,solution_aware,0,0.0
acne_scarring,curiosity_tease,most_aware,0,0.0
acne_scarring,before_after_reveal,unaware,0,0.0
acne_scarring,before_after_reveal,problem_aware,0,0.0
acne_scarring,before_after_reveal,solution_aware,0,0.0
acne_scarring,before_after_reveal,product_aware,0,0.0
acne_scarring,before_after_reveal,most_aware,0,0.0
fine_lines_wrinkles,bold_claim,unaware,0,0.0
fine_lines_wrinkles,bold_claim,most_aware,0,0.0
fine_lines_wrinkles,problem_callout,unaware,0,0.0
fine_lines_wrinkles,problem_callout,problem_aware,0,0.0
fine_lines_wrinkles,question,problem_aware,0,0.0
fine_lines_wrinkles,question,most_aware,0,0.0
fine_lines_wrinkles,direct_offer,unaware,0,0.0
fine_lines_wrinkles,direct_offer,problem_aware,0,0.0
fine_lines_wrinkles,flat_spec,unaware,0,0.0
fine_lines_wrinkles,flat_spec,problem_aware,0,0.0
fine_lines_wrinkles,flat_spec,most_aware,0,0.0
fine_lines_wrinkles,social_proof,unaware,0,0.0
fine_lines_wrinkles,social_proof,problem_aware,0,0.0
fine_lines_wrinkles,social_proof,solution_aware,0,0.0
fine_lines_wrinkles,social_proof,product_aware,0,0.0
fine_lines_wrinkles,social_proof,most_aware,0,0.0
fine_lines_wrinkles,curiosity_tease,unaware,0,0.0
fine_lines_wrinkles,curiosity_tease,problem_aware,0,0.0
fine_lines_wrinkles,curiosity_tease,solution_aware,0,0.0
fine_lines_wrinkles,curiosity_tease,most_aware,0,0.0
fine_lines_wrinkles,before_after_reveal,unaware,0,0.0
fine_lines_wrinkles,before_after_reveal,problem_aware,0,0.0
fine_lines_wrinkles,before_after_reveal,solution_aware,0,0.0
fine_lines_wrinkles,before_after_reveal,product_aware,0,0.0
fine_lines_wrinkles,before_after_reveal,most_aware,0,0.0
pigmentation_sun_damage,bold_claim,unaware,0,0.0
pigmentation_sun_damage,bold_claim,problem_aware,0,0.0
pigmentation_sun_damage,problem_callout,unaware,0,0.0
pigmentation_sun_damage,problem_callout,most_aware,0,0.0
pigmentation_sun_damage,question,unaware,0,0.0
pigmentation_sun_damage,question,problem_aware,0,0.0
pigmentation_sun_damage,question,solution_aware,0,0.0
pigmentation_sun_damage,question,most_aware,0,0.0
pigmentation_sun_damage,direct_offer,unaware,0,0.0
pigmentation_sun_damage,direct_offer,problem_aware,0,0.0
pigmentation_sun_damage,direct_offer,solution_aware,0,0.0
pigmentation_sun_damage,flat_spec,unaware,0,0.0
pigmentation_sun_damage,flat_spec,problem_aware,0,0.0
pigmentation_sun_damage,flat_spec,solution_aware,0,0.0
pigmentation_sun_damage,flat_spec,most_aware,0,0.0
pigmentation_sun_damage,social_proof,unaware,0,0.0
pigmentation_sun_damage,social_proof,problem_aware,0,0.0
pigmentation_sun_damage,social_proof,solution_aware,0,0.0
pigmentation_sun_damage,social_proof,most_aware,0,0.0
pigmentation_sun_damage,curiosity_tease,unaware,0,0.0
pigmentation_sun_damage,curiosity_tease,problem_aware,0,0.0
pigmentation_sun_damage,curiosity_tease,most_aware,0,0.0
