advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Milas Aesthetic Spa Houston,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),0,,,50,"[""offer"", ""dollar_off"", 100, 86]",26,1006337722403664|1069835729306735
"Cyra Beauty, Health and Laser Clinic",single_location,2,flat_spec (50%),educational_howto (50%),laxity_tightening (50%),solution_aware (50%),no_offer (100%),0,,,0,"[""cta_intent"", ""learn_educate"", 100, 80]",277,1422745169602572|2184599668979132
Lakewood Ranch Med Spa,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),percent_off (100%),2,0,0,100,"[""downtime_handling"", ""downtime_denied"", 100, 90]",112,992673506648840|1711657766927241
Solta Medical (Fraxel),device_manufacturer,2,curiosity_tease (50%),testimonial_ugc (100%),pigmentation_sun_damage (100%),product_aware (100%),no_offer (100%),2,0,0,0,"[""format"", ""testimonial_ugc"", 100, 95]",56,1045996054587292|1734874347585944
Forest Wellness M.D.,single_location,2,direct_offer (50%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),dollar_off (100%),2,0,0,0,"[""downtime_handling"", ""downtime_disclosed"", 100, 98]",21,1075225821532305|934225159108112
Solé Medical Spa,single_location,2,direct_offer (100%),provider_authority (100%),unspecified (100%),solution_aware (100%),dollar_off (100%),2,0,0,0,"[""format"", ""provider_authority"", 100, 95]",49,1608301200649621|3971268766342735
NewBeauty,single_location,2,direct_offer (50%),product_announcement (50%),laxity_tightening (50%),product_aware (50%),dollar_off (50%),1,100,0,50,"[""funnel"", ""mid_consideration"", 100, 76]",210,1318943913414961|1382363823835279
Live Vibrant Medspa,single_location,2,problem_callout (100%),problem_solution (50%),acne_scarring (100%),product_aware (100%),free_consult (100%),2,0,0,0,"[""cta_intent"", ""free_consult"", 100, 97]",12,828298440328385|2042843953013182
LaVie Skinthetics Medspa,single_location,2,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,0,0,0,"[""hook_archetype"", ""problem_callout"", 100, 86]",10,1939507033396941|1939382253706207
Ultimate You Medspa,single_location,2,flat_spec (50%),product_announcement (50%),laxity_tightening (100%),product_aware (50%),event_flash_sale (50%),2,0,0,50,"[""modality"", ""rf_microneedling"", 100, 68]",9,881304258248713|1070400498903129
Alibaba.com,single_location,2,flat_spec (100%),catalog_generic (100%),unspecified (100%),product_aware (100%),no_offer (100%),0,,,100,"[""format"", ""catalog_generic"", 100, 92]",1,2418089695596737|1092476393259314
Pink Mountain Wellness,single_location,2,problem_callout (50%),educational_howto (100%),fine_lines_wrinkles (100%),solution_aware (50%),no_offer (100%),0,,,0,"[""format"", ""educational_howto"", 100, 92]",107,26812657305069410|1021208953835877
Dr. Juan Carlos Herrera,single_location,2,bold_claim (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),dollar_off (50%),0,,,50,"[""cta_intent"", ""message_us"", 100, 88]",88,1488873672509670|1677125453559699
B&W Plastic Surgery,single_location,2,question (50%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),package_bundle (100%),0,,,100,"[""offer"", ""package_bundle"", 100, 94]",7,1100236379622557|1823928042111545
Skinfuzion,single_location,2,question (50%),offer_promo (50%),laxity_tightening (50%),most_aware (50%),first_treatment_price (50%),0,,,50,"[""cta_intent"", ""learn_educate"", 100, 80]",5,1801279250883246|2139221446668485
Maya Med Spa,single_location,2,direct_offer (100%),offer_promo (100%),general_glow (100%),product_aware (100%),first_treatment_price (100%),2,0,0,100,"[""offer"", ""first_treatment_price"", 100, 92]",1,1419281296221664|2187984508765679
US Evergreen Medspa,single_location,2,direct_offer (50%),offer_promo (50%),laxity_tightening (100%),product_aware (100%),event_flash_sale (100%),1,100,0,100,"[""offer"", ""event_flash_sale"", 100, 91]",10,1771734774013777|3139717436219017
Evolve Aesthetics Vancouver,single_location,2,flat_spec (50%),problem_solution (50%),pigmentation_sun_damage (100%),product_aware (100%),no_offer (100%),2,100,0,100,"[""driver"", ""convenience_time"", 100, 98]",85,1708811026911546|2588298138253644
Glowtox Aesthetics,single_location,2,flat_spec (100%),product_announcement (100%),pigmentation_sun_damage (100%),product_aware (100%),dollar_off (100%),2,0,0,0,"[""format"", ""product_announcement"", 100, 93]",50,1528481975218372|1708942060362858
Derma,single_location,2,question (50%),problem_solution (50%),general_glow (50%),product_aware (100%),no_offer (100%),0,,,0,"[""offer"", ""no_offer"", 100, 58]",36,1594429398929397|1774150210513197
Livinz MedSpa,single_location,2,flat_spec (50%),catalog_generic (100%),fine_lines_wrinkles (50%),product_aware (100%),no_offer (100%),0,,,50,"[""format"", ""catalog_generic"", 100, 92]",2,1081664840942941|3658145597667730
Refresh Medspa,single_location,2,problem_callout (100%),problem_solution (100%),pigmentation_sun_damage (100%),product_aware (100%),no_offer (100%),2,100,0,0,"[""driver"", ""trust_safety"", 100, 90]",92,2230873941083415|1263246375884606
HAUS Salon,single_location,2,curiosity_tease (50%),product_announcement (100%),pigmentation_sun_damage (100%),product_aware (100%),no_offer (100%),0,,,0,"[""format"", ""product_announcement"", 100, 93]",390,2195469214266070|1460579364984850
Contoura Facial Plastic Surgery,single_location,2,question (50%),problem_solution (50%),general_glow (100%),product_aware (100%),no_offer (50%),0,,,0,"[""modality"", ""non_ablative_fractional"", 100, 90]",38,2917023731976650|1608188054335988
Stella Capri Wellness,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),percent_off (100%),0,,,100,"[""modality"", ""non_ablative_fractional"", 100, 90]",74,1013739358079757|1348847329910633
Newman & Company,single_location,2,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (50%),most_aware (100%),percent_off (100%),1,0,0,100,"[""offer"", ""percent_off"", 100, 87]",14,875804938803592|1073557722304446
Peaches + Co,single_location,2,bold_claim (50%),testimonial_ugc (50%),pigmentation_sun_damage (100%),product_aware (100%),no_offer (100%),0,,,100,"[""indication"", ""pigmentation_sun_damage"", 100, 90]",5,958565049875214|1447178607268912
The Luxe Room,single_location,2,curiosity_tease (100%),lifestyle_aspiration (100%),fine_lines_wrinkles (50%),product_aware (100%),no_offer (100%),2,0,0,100,"[""format"", ""lifestyle_aspiration"", 100, 97]",16,2008777886509378|1542300263868055
CULT Aesthetics,single_location,2,bold_claim (100%),educational_howto (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,0,"[""format"", ""educational_howto"", 100, 92]",56,1022714217030284|1106056622000493
Tru Glo Medspa,single_location,2,flat_spec (50%),product_announcement (50%),laxity_tightening (50%),product_aware (100%),no_offer (100%),2,100,0,0,"[""driver"", ""trust_safety"", 100, 90]",28,1281564037324345|1062722862876081
KP Aesthetics,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),dollar_off (100%),2,0,0,0,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",1,2093495661256235|1268863712981851
Glo Esthetics Med Spa,single_location,2,flat_spec (100%),educational_howto (100%),laxity_tightening (100%),product_aware (100%),gift_with_treatment (100%),2,100,50,0,"[""offer"", ""gift_with_treatment"", 100, 96]",127,1484499313022896|1669475287631405
PRIA Clinic,single_location,2,question (50%),educational_howto (50%),texture_pores (50%),product_aware (100%),no_offer (100%),0,,,0,"[""cta_intent"", ""message_us"", 100, 88]",72,908186824926774|1565662955573590
Jessica Elizabeth Skincare,single_location,2,direct_offer (100%),offer_promo (100%),unspecified (100%),most_aware (100%),dollar_off (100%),0,,,0,"[""modality"", ""non_ablative_fractional"", 100, 90]",64,1302135905039612|1341823551498162
Greenberg Cosmetic Surgery,single_location,2,social_proof (50%),provider_authority (100%),laxity_tightening (100%),product_aware (100%),free_consult (100%),0,,,0,"[""offer"", ""free_consult"", 100, 96]",406,1253635139775397|1493624712456064
LifeSculpt - Mokena,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),0,,,0,"[""offer"", ""percent_off"", 100, 87]",402,1887595308473517|24237796495872606
South Surrey Glow - Hormones & Aesthetics,single_location,2,flat_spec (50%),catalog_generic (50%),general_glow (50%),product_aware (100%),no_offer (100%),0,,,50,"[""modality"", ""rf_microneedling"", 100, 68]",132,998489656011003|1479990523666697
Frontier Dermatology,single_location,2,bold_claim (100%),educational_howto (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,0,"[""format"", ""educational_howto"", 100, 92]",113,988340947383476|703568339517270
Clinical Care 365,single_location,2,problem_callout (100%),problem_solution (100%),fine_lines_wrinkles (100%),product_aware (100%),percent_off (100%),1,100,100,100,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",420,708174842219486|1448291969643941
Bay Area Medical Group,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),package_bundle (100%),2,0,0,100,"[""offer"", ""package_bundle"", 100, 94]",44,2267078254045992|1025791443559131
Revitalyze Aesthetics and Wellness ,single_location,2,problem_callout (100%),problem_solution (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),2,0,0,100,"[""hook_archetype"", ""problem_callout"", 100, 86]",128,1273494811654875|1262142559007266
Adhara Esthetic,single_location,2,question (50%),educational_howto (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,50,"[""format"", ""educational_howto"", 100, 92]",337,1175339531177854|1494638145109917
Skin Tight Medical Spa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,0,0,100,"[""offer"", ""dollar_off"", 100, 86]",93,1374764354503904|1086263973975334
Luxury Beauty Spaa,single_location,2,flat_spec (100%),educational_howto (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,50,"[""format"", ""educational_howto"", 100, 92]",81,890889220740500|1040435745289343
Muse Laser & Spa,single_location,2,bold_claim (100%),educational_howto (50%),laxity_tightening (100%),product_aware (100%),no_offer (50%),1,100,0,100,"[""cta_intent"", ""message_us"", 100, 88]",522,695984029624835|1721840922257665
Petras Weight Loss Clinic,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,100,0,50,"[""offer"", ""dollar_off"", 100, 86]",39,2568418633590293|1387554250007808
Radiant Heights Med Spa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),0,,,0,"[""offer"", ""dollar_off"", 100, 86]",83,1586004523138631|1315897780225821
Cleavage Clinic,single_location,2,social_proof (100%),comparison_switch (100%),laxity_tightening (100%),solution_aware (50%),financing_monthly (100%),2,100,0,100,"[""offer"", ""financing_monthly"", 100, 99]",35,907521231937871|1382871327100606
Lifesculpt - Naperville,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),0,,,0,"[""offer"", ""percent_off"", 100, 87]",144,1748052056357834|1470005151820063
Healthy Beginnings Wellness & Esthetics,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),0,,,0,"[""offer"", ""percent_off"", 100, 87]",18,1822376882466830|2793353091039363
Blurr'd Lines,single_location,2,bold_claim (100%),before_after_showcase (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,100,"[""format"", ""before_after_showcase"", 100, 97]",86,838981512400385|1570216658149671
Evexia Medical Spa,single_location,2,bold_claim (100%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),dollar_off (100%),2,0,0,100,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",18,3677460572423029|1717301576004035
Envision Medical Care ,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),first_treatment_price (100%),2,50,0,0,"[""offer"", ""first_treatment_price"", 100, 92]",31,4563473503871806|1433669688817932
Lush Beauty Med Spa,single_location,2,question (50%),problem_solution (100%),laxity_tightening (50%),product_aware (100%),no_offer (50%),0,,,50,"[""format"", ""problem_solution"", 100, 86]",77,848119714787820|1675320700213877
Cutella Medical Spa,single_location,2,flat_spec (100%),catalog_generic (100%),general_glow (100%),unaware (100%),event_flash_sale (100%),0,,,0,"[""driver"", ""lifestyle_aspiration"", 100, 96]",16,1798345997831137|1063769973021836
DesignHer Medspa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,0,0,100,"[""offer"", ""dollar_off"", 100, 86]",21,1055555273747813|1059473329905456
Skin N' Tox Aesthetics,single_location,2,direct_offer (100%),offer_promo (50%),texture_pores (100%),most_aware (100%),dollar_off (100%),0,,,0,"[""indication"", ""texture_pores"", 100, 94]",39,1785639696182015|1111345341216900
Novuskin Med Spa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),package_bundle (100%),2,0,0,100,"[""offer"", ""package_bundle"", 100, 94]",3,1801544710979343|2826732561041560
Mon Petit Salon et Spa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),package_bundle (100%),2,0,0,0,"[""offer"", ""package_bundle"", 100, 94]",11,1452244806720854|1742631633666386
Renew MediSpa,single_location,2,problem_callout (50%),problem_solution (50%),laxity_tightening (50%),most_aware (100%),first_treatment_price (50%),1,0,0,50,"[""awareness_stage"", ""most_aware"", 100, 72]",14,3432998270212817|974489512344761
Transforming Beauty,single_location,2,problem_callout (50%),problem_solution (100%),laxity_tightening (100%),problem_aware (100%),first_treatment_price (100%),2,0,0,100,"[""awareness_stage"", ""problem_aware"", 100, 99]",13,2372192583312189|1007074272365529
Beauté NYC,single_location,2,before_after_reveal (50%),before_after_showcase (50%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,50,"[""driver"", ""trust_safety"", 100, 90]",171,1578362106561626|1078811697877825
VIO Med Spa Solon,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),0,,,0,"[""offer"", ""percent_off"", 100, 87]",9,1686769592390887|1737728907307923
Adulto mayor ultimate ,single_location,2,question (50%),catalog_generic (100%),fine_lines_wrinkles (50%),unaware (100%),no_offer (100%),0,,,100,"[""awareness_stage"", ""unaware"", 100, 96]",22,906656699196993|1767885617585027
Genesis Lifestyle Medicine - Nashville,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,0,0,0,"[""offer"", ""dollar_off"", 100, 86]",38,984618064606358|1405013881527990
Aesthetics by Grace MedSpa,single_location,2,direct_offer (50%),offer_promo (100%),unspecified (100%),most_aware (100%),first_treatment_price (100%),2,0,0,100,"[""offer"", ""first_treatment_price"", 100, 92]",17,1344605350780497|846460761789870
Wave Plastic Surgery & Aesthetic Laser Center,single_location,2,problem_callout (100%),problem_solution (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),1,0,0,0,"[""hook_archetype"", ""problem_callout"", 100, 86]",17,3297265850468829|933643889218441
Aesthetics by Vive,single_location,2,direct_offer (50%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),percent_off (100%),2,0,0,0,"[""offer"", ""percent_off"", 100, 87]",65,1589863252705590|1654971189070789
17MedSpa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),0,,,50,"[""offer"", ""percent_off"", 100, 87]",29,4047331988732650|1761198008417733
Dr. Michael I. Jacobs Dermatology,single_location,2,problem_callout (50%),problem_solution (50%),texture_pores (50%),product_aware (100%),no_offer (100%),0,,,0,"[""driver"", ""transformation"", 100, 70]",21,2335476427224932|1019103701181806
Selenaclinic Beauty Skin Anti-aging Clinic in Korea,single_location,2,social_proof (100%),offer_promo (50%),laxity_tightening (50%),product_aware (50%),event_flash_sale (50%),0,,,0,"[""hook_archetype"", ""social_proof"", 100, 94]",102,982062481210745|1000335169070774
"Beijing Nubway S&T Co., Ltd.",single_location,2,question (50%),product_announcement (100%),unspecified (100%),solution_aware (100%),no_offer (100%),0,,,0,"[""format"", ""product_announcement"", 100, 93]",185,2169858237103095|1013898114973637
Caviar Skin Clinic,single_location,2,flat_spec (100%),educational_howto (100%),laxity_tightening (100%),solution_aware (100%),no_offer (100%),0,,,0,"[""format"", ""educational_howto"", 100, 92]",143,26654297384180375|815911838248939
OstarBeauty,single_location,2,flat_spec (50%),product_announcement (100%),unspecified (100%),product_aware (100%),no_offer (100%),0,,,100,"[""format"", ""product_announcement"", 100, 93]",266,1401147338015929|722456357357773
Brio Esthetics,single_location,2,direct_offer (50%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),percent_off (100%),2,0,0,100,"[""downtime_handling"", ""downtime_denied"", 100, 90]",65,3099258930277404|2027371511498065
Marotta MedSpa,single_location,2,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),percent_off (100%),2,0,0,0,"[""offer"", ""percent_off"", 100, 87]",127,1520618219587787|2258973118292899
Genesis Med Spa 314,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),event_flash_sale (100%),0,,,0,"[""offer"", ""event_flash_sale"", 100, 91]",30,1738049364194022|4370840533180573
Summerland Aesthetics,single_location,2,bold_claim (100%),offer_promo (100%),laxity_tightening (100%),solution_aware (100%),event_flash_sale (100%),2,0,0,100,"[""offer"", ""event_flash_sale"", 100, 91]",51,969778989451844|1742067196844725
JAX Aesthetics & Wellness Center,single_location,2,direct_offer (50%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),percent_off (100%),2,0,0,100,"[""downtime_handling"", ""downtime_denied"", 100, 90]",51,1022107180792535|2308993909845152
Spa West Promotions,single_location,2,curiosity_tease (50%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),event_flash_sale (100%),2,0,0,0,"[""offer"", ""event_flash_sale"", 100, 91]",15,1819705779207182|2570084603510202
Me Time Med Spa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),package_bundle (100%),2,0,0,100,"[""offer"", ""package_bundle"", 100, 94]",22,1390417349224351|29110499168540300
Aria Integrative Health,single_location,2,bold_claim (100%),product_announcement (100%),unspecified (100%),product_aware (100%),no_offer (100%),2,0,0,0,"[""format"", ""product_announcement"", 100, 93]",112,27068008219499410|1023980376825866
Fab Medical Aesthetics & Permanent Makeup,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),package_bundle (100%),2,100,100,50,"[""offer"", ""package_bundle"", 100, 94]",14,2094885121117919|1090087833465903
Skinny Secrets,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),dollar_off (100%),0,,,100,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",36,1963719710954812|1380655520943656
Girltox Aesthetics,single_location,2,direct_offer (100%),catalog_generic (100%),unspecified (100%),most_aware (100%),dollar_off (100%),0,,,0,"[""format"", ""catalog_generic"", 100, 92]",39,1945422503304442|1030594426392923
Fountain of Youth Skin Renewal Centre,single_location,2,bold_claim (100%),offer_promo (100%),acne_scarring (100%),product_aware (100%),dollar_off (100%),2,0,0,100,"[""indication"", ""acne_scarring"", 100, 95]",17,3761686410637317|2337341633736371
PryorHealth Rockford,single_location,2,bold_claim (50%),offer_promo (100%),texture_pores (50%),solution_aware (100%),package_bundle (100%),0,,,0,"[""offer"", ""package_bundle"", 100, 94]",21,1752216055899112|4275927639217722
Carolyn Skincare MedSpa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),event_flash_sale (100%),0,,,0,"[""offer"", ""event_flash_sale"", 100, 91]",10,1933818667315449|1015137478238258
Aesthetics by NWA Lasers,single_location,2,direct_offer (50%),offer_promo (100%),unspecified (100%),most_aware (100%),percent_off (100%),2,0,0,0,"[""offer"", ""percent_off"", 100, 87]",16,629285483265121|682902780905652
IONA Clinic,single_location,2,bold_claim (50%),catalog_generic (50%),laxity_tightening (50%),product_aware (100%),no_offer (100%),0,,,100,"[""cta_intent"", ""message_us"", 100, 88]",3,2016186132361152|28603004059335890
Lumiere Laser Skin Clinic,single_location,2,problem_callout (50%),problem_solution (100%),laxity_tightening (50%),product_aware (100%),financing_monthly (100%),0,,,50,"[""offer"", ""financing_monthly"", 100, 99]",4,1063079859910673|1520229469869069
Athena Cryo,single_location,2,social_proof (50%),before_after_showcase (50%),laxity_tightening (100%),product_aware (100%),no_offer (100%),2,100,0,100,"[""modality"", ""rf_microneedling"", 100, 68]",24,1625506202329886|1569201484673628
Germain Dermatology,single_location,2,question (100%),product_announcement (50%),laxity_tightening (100%),product_aware (100%),no_offer (100%),2,0,0,0,"[""hook_archetype"", ""question"", 100, 92]",65,1337197908034399|1041591221663622
Wellness Center Cleveland,single_location,2,question (100%),problem_solution (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),2,0,0,100,"[""hook_archetype"", ""question"", 100, 92]",86,944286001976977|1946235549412824
Dra. Miriam Fernandez medicina estetica,single_location,2,question (50%),provider_authority (50%),unspecified (50%),product_aware (100%),no_offer (100%),0,,,50,"[""driver"", ""trust_safety"", 100, 90]",24,915437844965604|27875043282165275
Colorado Integrative Healthcare,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),2,0,0,0,"[""offer"", ""percent_off"", 100, 87]",29,1622160892864977|2011763166141919
Walnut Creek Aesthetics,single_location,2,flat_spec (50%),product_announcement (50%),laxity_tightening (50%),product_aware (100%),dollar_off (100%),0,,,100,"[""downtime_handling"", ""downtime_denied"", 100, 90]",11,1107225958423882|1452490153360998
Linly Medspa and Wellness,single_location,2,flat_spec (50%),problem_solution (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,0,"[""cta_intent"", ""message_us"", 100, 88]",11,2154868492095169|1084438404522330
muse_medspa,single_location,2,direct_offer (50%),offer_promo (50%),unspecified (50%),most_aware (50%),gift_with_treatment (50%),0,,,0,"[""cta_intent"", ""message_us"", 100, 88]",7,1108986942078762|2100752754137175
Epanouir Aesthetic & Longevity Center,single_location,2,problem_callout (100%),problem_solution (50%),laxity_tightening (50%),product_aware (100%),percent_off (100%),0,,,100,"[""offer"", ""percent_off"", 100, 87]",10,1591230755689050|1084717020806733
Lilivy Aesthetics & Wellness,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),gift_with_treatment (100%),0,,,100,"[""offer"", ""gift_with_treatment"", 100, 96]",3,1663113348503581|3065530163791450
Inbloom Medical Spa Londonderry,single_location,2,curiosity_tease (50%),educational_howto (50%),unspecified (100%),product_aware (100%),no_offer (100%),2,100,100,0,"[""indication"", ""unspecified"", 100, 85]",4,4431237127132429|1081173118174364
Simply Divine Aesthetics,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),event_flash_sale (100%),2,0,0,100,"[""offer"", ""event_flash_sale"", 100, 91]",31,1811725083321003|2233599100722887
Gemini Glow Med Spa,single_location,2,bold_claim (100%),comparison_switch (100%),fine_lines_wrinkles (100%),product_aware (100%),first_treatment_price (100%),2,50,0,100,"[""format"", ""comparison_switch"", 100, 96]",11,1013098045115207|1452721953430110
VitaCell Medical Spa,single_location,2,flat_spec (100%),product_announcement (100%),texture_pores (100%),product_aware (100%),no_offer (100%),0,,,0,"[""indication"", ""texture_pores"", 100, 94]",57,1712752119935310|1692150458533778
Zior Skin,single_location,2,before_after_reveal (50%),before_after_showcase (50%),texture_pores (50%),product_aware (100%),no_offer (100%),0,,,50,"[""cta_intent"", ""learn_educate"", 100, 80]",3,2067116530839481|1550933210410194
Glow Medical Spa,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,0,0,50,"[""downtime_handling"", ""downtime_denied"", 100, 90]",2,1110805938082692|2205775869988449
Elaine Esthetics,single_location,2,bold_claim (50%),lifestyle_aspiration (50%),unspecified (50%),solution_aware (50%),first_treatment_price (50%),0,,,50,"[""cta_intent"", ""lead_capture"", 100, 55]",289,1358407425780643|1369204905255959
Serenity Medical Spa,single_location,2,question (100%),catalog_generic (100%),general_glow (100%),unaware (100%),no_offer (100%),0,,,100,"[""driver"", ""lifestyle_aspiration"", 100, 96]",568,1869421757194602|1586271945742413
Willis Cosmetic Surgery & MedSpa,single_location,2,bold_claim (50%),provider_authority (50%),fine_lines_wrinkles (100%),solution_aware (100%),no_offer (100%),0,,,0,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",379,4064599743869981|2890774574457107
Dr Laser Baltimore,single_location,2,bold_claim (100%),offer_promo (50%),pigmentation_sun_damage (100%),product_aware (100%),gift_with_treatment (50%),2,0,0,100,"[""modality"", ""ipl_bbl"", 100, 99]",534,3000896083412282|1251338426222950
"Illuminate Plastic Surgery, Inc.",single_location,1,direct_offer (100%),offer_promo (100%),unspecified (100%),product_aware (100%),dollar_off (100%),0,,,100,null,109,1605945993837574
Plaza Aesthetics,single_location,1,bold_claim (100%),catalog_generic (100%),unspecified (100%),unaware (100%),no_offer (100%),1,0,0,0,null,221,900512055765364
Skinsation Aesthetics - Med Spa,single_location,1,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),event_flash_sale (100%),1,0,0,0,null,112,2050143639230783
Consultants in Ophthalmic and Facial Plastic Surgery,single_location,1,flat_spec (100%),provider_authority (100%),unspecified (100%),unaware (100%),no_offer (100%),1,0,0,0,null,183,1643186613367806
Hodag HydrO2 - Rhinelander,single_location,1,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),solution_aware (100%),free_consult (100%),1,0,0,100,null,130,2520452831758183
NWME Aesthetics,single_location,1,flat_spec (100%),educational_howto (100%),texture_pores (100%),solution_aware (100%),no_offer (100%),0,,,0,null,17,1039137485814210
Aesthetics Medical Spa Lansing,single_location,1,problem_callout (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),event_flash_sale (100%),1,0,0,0,null,123,1358649986168801
The Radiance MD,single_location,1,question (100%),offer_promo (100%),fine_lines_wrinkles (100%),solution_aware (100%),event_flash_sale (100%),0,,,0,null,39,1737786694614062
Alyne Aesthetics & Med Spa,single_location,1,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),event_flash_sale (100%),1,100,0,0,null,14,1595650912291710
Ageless Affairs,single_location,1,bold_claim (100%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),percent_off (100%),1,0,0,100,null,35,1557021796132280
Injec Denver,single_location,1,problem_callout (100%),comparison_switch (100%),fine_lines_wrinkles (100%),solution_aware (100%),no_offer (100%),0,,,100,null,65,1671869764098425
ReGenesis Wellness & Medspa,single_location,1,question (100%),offer_promo (100%),laxity_tightening (100%),product_aware (100%),gift_with_treatment (100%),1,0,0,0,null,84,1517385493412039
Clevens Face and Body Specialists,regional_group,1,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),1,0,0,0,null,16,984317784702593
The Longevity Center Greenville,single_location,1,problem_callout (100%),provider_authority (100%),fine_lines_wrinkles (100%),solution_aware (100%),dollar_off (100%),1,100,0,0,null,22,1823894742355150
SKINnovative Medical Aesthetics,single_location,1,bold_claim (100%),problem_solution (100%),general_glow (100%),product_aware (100%),no_offer (100%),0,,,100,null,6,840088009124899
Skin Care Institute,single_location,1,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),event_flash_sale (100%),1,0,0,0,null,4,1784658939402050
Dr. Mehmet Cömert,single_location,1,before_after_reveal (100%),before_after_showcase (100%),general_glow (100%),product_aware (100%),no_offer (100%),0,,,0,null,3,2480614679090144
